price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,stock_diff,crypy_diff,stock_price
19785.58,8460000000.000001,379000000000.0,9153487.0,17376946.72,18978592.4,2958230.0,201000000.0,199000000.0,2.46,0.0,-174.80999999999767,11535.02
19960.39,6070000000.0,382000000000.0,9152437.0,17375918.54,18988458.81,2945670.0,246000000.0,224000000.0,2.84,86.6200000000008,285.47000000000116,11535.02
19674.92,9540000000.0,377000000000.0,9151681.0,17375239.37,18978506.44,2974905.0,333000000.0,393000000.0,3.01,-103.96000000000095,-307.9900000000016,11448.4
19982.91,10570000000.0,383000000000.0,9150743.0,17374592.46,18977939.07,2861216.0,2160000000.0,2250000000.0,3.21,-167.3199999999997,-221.40000000000146,11552.36
20204.31,11590000000.0,387000000000.0,9149981.0,17373767.29,18987421.71,2831138.0,5760000000.0,6000000000.0,3.12,86.11000000000058,-1341.3199999999997,11719.68
21545.63,16960000000.0,413000000000.0,9149100.0,17373032.6,18985730.32,2853719.0,1410000000.0,1060000000.0,3.0,-632.8400000000001,-585.739999999998,11633.57
22131.37,15060000000.0,424000000000.0,9148118.0,17371574.5,18996800.91,2845918.0,474000000.0,437000000.0,3.11,0.0,519.2299999999996,12266.41
21612.14,9850000000.0,414000000000.0,9147012.0,17370433.19,18992703.67,2911887.0,248000000.0,288000000.0,2.61,0.0,199.77000000000044,12266.41
21412.37,10380000000.0,410000000000.0,9146012.0,17369517.03,18991522.54,2906954.0,279000000.0,273000000.0,2.79,154.10000000000036,575.5999999999985,12266.41
20836.77,15150000000.0,399000000000.0,9145106.0,17368637.32,18988945.49,2875489.0,609000000.0,524000000.0,3.31,250.1800000000003,1597.0200000000004,12112.31
19239.75,8390000000.000001,368000000000.0,9144287.0,17367723.81,18969516.95,2885708.0,464000000.0,485000000.0,3.09,70.22999999999956,317.91999999999825,11862.13
18921.83,9460000000.0,362000000000.0,9143381.0,17366906.62,18968868.23,2840851.0,454000000.0,547000000.0,3.06,246.98999999999978,-630.6499999999978,11791.9
19552.48,11800000000.0,374000000000.0,9142493.0,17366023.03,18965172.87,2865746.0,701000000.0,815000000.0,3.09,0.0,-241.0,11544.91
19793.48,6880000000.0,379000000000.0,9141543.0,17365037.08,18970012.82,2876420.0,671000000.0,591000000.0,2.93,0.0,-12.610000000000582,11544.91
19806.09,4720000000.0,379000000000.0,9140468.0,17364204.63,18970078.36,2927516.0,371000000.0,429000000.0,2.39,0.0,-30.419999999998254,11544.91
19836.51,4510000000.0,380000000000.0,9139575.0,17363356.37,18967924.03,2925779.0,184000000.0,198000000.0,2.73,-85.95000000000073,-275.6800000000003,11544.91
20112.19,8230000000.0,385000000000.0,9138750.0,17362628.11,18967805.8,2955379.0,559000000.0,437000000.0,3.13,-154.26999999999862,166.04999999999927,11630.86
19946.14,8310000000.000001,382000000000.0,9137887.0,17361813.48,18974579.57,2894399.0,392000000.0,493000000.0,3.13,-31.070000000001528,-257.90999999999985,11785.13
20204.05,9760000000.0,387000000000.0,9136956.0,17361257.85,18973066.7,2850450.0,729000000.0,503000000.0,2.99,-66.93999999999869,106.66999999999825,11816.2
20097.38,9670000000.0,385000000000.0,9135981.0,17360574.86,18965212.02,2848382.0,640000000.0,713000000.0,3.05,-134.53000000000065,87.63999999999942,11883.14
20009.74,7740000000.0,383000000000.0,9134981.0,17359488.52,18973382.18,2864392.0,467000000.0,601000000.0,2.93,0.0,57.37000000000262,12017.67
19952.37,4800000000.0,382000000000.0,9133993.0,17358509.59,18961786.55,2899939.0,218000000.0,237000000.0,2.37,0.0,-155.5699999999997,12017.67
20107.94,5790000000.0,385000000000.0,9133062.0,17357657.74,18968819.27,2896014.0,260000000.0,323000000.0,2.57,-124.03999999999905,-1020.5800000000017,12017.67
21128.52,10810000000.0,404000000000.0,9131968.0,17356938.88,18969759.19,2890115.0,429000000.0,446000000.0,3.07,-497.5600000000013,-471.84000000000015,12141.71
21600.36,5870000000.0,413000000000.0,9131018.0,17355946.86,18975800.81,2859146.0,347000000.0,451000000.0,2.95,207.73999999999978,148.3199999999997,12639.27
21452.04,6680000000.0,410000000000.0,9130043.0,17355141.65,18973970.58,2861699.0,316000000.0,496000000.0,3.01,50.23000000000138,74.31999999999971,12431.53
21377.72,7470000000.0,409000000000.0,9129018.0,17354285.35,18973337.05,2858724.0,294000000.0,315000000.0,2.98,-0.27000000000043656,146.8199999999997,12381.3
21230.9,8119999999.999999,406000000000.0,9128093.0,17353437.45,18970847.47,2896393.0,375000000.0,370000000.0,2.89,0.0,-146.70999999999913,12381.57
21377.61,5780000000.0,409000000000.0,9127231.0,17352496.42,18971078.02,2902216.0,171000000.0,236000000.0,2.33,0.0,229.40999999999985,12381.57
21148.2,6740000000.0,404000000000.0,9126250.0,17351588.27,18968261.32,2886885.0,216000000.0,265000000.0,2.62,-323.64999999999964,-593.5799999999981,12381.57
21741.78,12140000000.0,416000000000.0,9125156.0,17350821.69,18966358.52,2875776.0,623000000.0,743000000.0,3.2,-260.1200000000008,-1651.7000000000007,12705.22
