,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
1483,4001.03,777000000.0,69800000000.0,17445424.51,15657969.95,17131008.2,22390214.0,89550000.0,85470000.0,2.88,4147.16
1484,3884.76,733000000.0,67739999999.99999,17443224.33,15656459.44,17130284.59,22388019.0,88660000.0,87480000.0,2.91,4001.03
1485,3994.91,1420000000.0,69690000000.0,17441036.62,15654252.71,17121948.11,22415387.0,168000000.0,157000000.0,3.25,3884.76
1486,3995.23,1830000000.0,69660000000.0,17439286.21,15652727.54,17135821.21,22404342.0,226000000.0,194000000.0,3.27,3994.91
1487,3777.28,1570000000.0,65870000000.00001,17437598.37,15650829.4,17111474.85,22407655.0,208000000.0,207000000.0,3.51,3995.23
1488,3538.33,943000000.0,61690000000.0,17435735.44,15648832.21,17107871.61,22441273.0,151000000.0,136000000.0,3.12,3777.28
1489,3413.51,1050000000.0,59480000000.0,17434135.06,15647331.18,17098318.12,22450899.0,169000000.0,145000000.0,3.43,3538.33
1490,3238.26,427000000.0,56450000000.0,17432134.78,15645453.41,17072384.28,22504091.0,55720000.0,45400000.0,2.61,3413.51
1491,3187.26,461000000.0,55550000000.0,17430697.06,15644296.71,17070788.58,22541916.0,66519999.99999999,62450000.0,3.05,3238.26
1492,3237.82,727000000.0,56420000000.0,17428834.04,15642540.47,17069987.84,22586741.0,120000000.0,133000000.0,3.23,3187.26
1493,3356.22,684000000.0,58500000000.0,17427007.95,15641284.51,17071423.73,22654933.0,122000000.0,98730000.0,3.09,3237.82
1494,3420.0,585000000.0,59580000000.0,17425370.2,15639486.18,17085031.64,22686926.0,152000000.0,139000000.0,2.99,3356.22
1495,3375.5,620000000.0,58810000000.0,17423869.95,15638263.34,17079956.21,22710620.0,149000000.0,124000000.0,2.96,3420.0
1496,3475.42,729000000.0,60550000000.0,17422307.2,15635808.52,17082555.47,22733785.0,146000000.0,156000000.0,2.93,3375.5
1497,3510.66,740000000.0,61140000000.0,17420756.88,15635020.6,17087511.7,22739754.0,84450000.0,88040000.0,2.74,3475.42
1498,3397.19,901000000.0,59160000000.0,17419156.72,15633373.1,17079310.22,22745914.0,102000000.0,90010000.0,2.68,3510.66
1499,3369.96,1680000000.0,58680000000.0,17417569.02,15630938.97,17076220.97,22744561.0,209000000.0,160000000.0,2.96,3397.19
1500,3684.14,1370000000.0,64150000000.00001,17416143.62,15629343.34,17082268.97,22743660.0,168000000.0,150000000.0,3.25,3369.96
1501,3801.76,892000000.0,66220000000.0,17414455.56,15628002.65,17090548.32,22747938.0,140000000.0,123000000.0,2.97,3684.14
1502,3915.54,975000000.0,68150000000.00001,17412830.11,15626104.7,17097999.42,22740535.0,140000000.0,145000000.0,3.1,3801.76
1503,3924.72,1030000000.0,68370000000.00001,17411104.22,15624921.93,17092182.8,22752459.0,150000000.0,143000000.0,2.8,3915.54
1504,4137.26,834000000.0,72040000000.0,17409678.89,15623064.8,17107698.46,22726745.0,77190000.0,94510000.0,2.56,3924.72
1505,4115.99,862000000.0,71620000000.0,17408253.57,15622109.21,17108784.52,22723671.0,78930000.0,71020000.0,2.81,4137.26
1506,4067.49,1300000000.0,70820000000.0,17406703.07,15620884.36,17095263.44,22738271.0,162000000.0,194000000.0,2.87,4115.99
1507,4249.2,1350000000.0,73960000000.0,17405439.86,15619529.32,17110691.61,22710570.0,172000000.0,196000000.0,2.84,4067.49
1508,4112.04,1750000000.0,71540000000.0,17404126.71,15618599.4,17108781.78,22694956.0,269000000.0,281000000.0,3.04,4249.2
1509,3719.96,1240000000.0,64730000000.00001,17402651.14,15612579.47,17083964.83,22672409.0,196000000.0,305000000.0,3.04,4112.04
1510,3825.39,1750000000.0,66560000000.0,17401013.15,15608573.66,17078696.04,22691156.0,208000000.0,161000000.0,2.96,3719.96
1511,3794.06,1990000000.0,65980000000.00001,17399625.11,15605698.11,17089501.98,22688319.0,229000000.0,127000000.0,2.8,3825.39
1512,4062.5,1190000000.0,70720000000.0,17398037.19,15602978.99,17081324.15,22681607.0,129000000.0,90350000.0,2.92,3794.06
1513,4261.27,1110000000.0,74110000000.0,17396249.36,15600802.63,17105170.41,22698564.0,166000000.0,135000000.0,3.16,4062.5
1514,4463.73,859000000.0,77670000000.0,17394686.49,15600051.16,17104134.29,22704603.0,139000000.0,158000000.0,3.06,4261.27
1515,4477.14,1460000000.0,77840000000.0,17393161.05,15598258.95,17112392.69,22725368.0,199000000.0,216000000.0,2.97,4463.73
1516,4514.85,2990000000.0,78510000000.0,17391847.76,15595318.34,17101805.94,22715397.0,418000000.0,335000000.0,3.35,4477.14
1517,5139.33,2270000000.0,89380000000.0,17390196.83,15593852.79,17118150.34,22735619.0,320000000.0,170000000.0,3.12,4514.85
1518,5554.55,531000000.0,96570000000.0,17388621.31,15591367.84,17145620.12,22755334.0,80940000.0,93930000.0,2.75,5139.33
